image_id,question,multiple_choices,question_id,question_type,multiple_choice_answer,answer_type,answers_multiple_users
1549,Did he put his feet up?,"['no', '2', '1', 'yes', 'comfortable', 'es', 'exercising', 'on pond', 'boy', 'seesaw and slide', 'blue', '4', '3', 'yellow', 'frogs and lily pads', 'girl', 'white', 'red']",15490,none of the above,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1549,Who is on the couch?,"['white', 'yes', 'dog', '3', 'children', 'yellow', 'bottom middle', 'hello', '2', 'old man', 'no', 'woman', 'red', 'doll and dollhouse', 'dvds', 'blue', '1', '4']",15491,who is,old man,other,"['old man', 'old man', 'man', 'old man', 'man', 'old man', 'man', 'man', 'old man', 'man']"
1549,Is there water in the painting?,"['sleeping dogs', 'water?', 'tables', 'white', 'hips', 'red', '4', 'yes', 'yellow', '1', 'fire', 'fish', '2', '3', 'blue', 'no', 'peanut butter', 'friction']",15492,is there,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1550,What color is the ducks feathers?,"['gray', 'no', 'red', '1', 'fear', 'white', 'everyone', '2', 'green', 'looking in basket', 'yes', 'yellow', 'brown', 'blue', 'beehive', 'orange', '3', '4']",15500,what color is the,gray,other,"['gray', 'gray', 'brown', 'gray and green', 'brown', 'gray', 'gray', 'gray', 'gray', 'gray']"
1550,How many fish are in the pond?,"['3', 'yes', 'yellow', 'on logs', 'blue', 'no', 'white', '4', '5', '1', 'countless', '3 hours ago', '60', 'red', 'cleaning', '2', 'in basket', 'holding stomach']",15501,how many,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
1550,Is the boy unhappy?,"['3', 'yes', '2', 'nice day', 'yew', 'standing', 'no', 'fire and sun', '1', 'yellow', 'bury it', 'yes no', '4', 'blue book', 'blue', 'loveseat', 'white', 'red']",15502,is the boy,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1550,How many people are in the image?,"['3', '18', '2', '14', '8', '15', '12', '16', '20', '0', '1', '10', '4', '9', '17', '5', '6', '11']",15503,how many,1,number,"['1', '12', '19', '3', '1', '1', '1', '1', '1', '1']"
1551,Is there a yellow dog at the table?,"['3', 'on bench', '1', 'playing tea party', '4', 'outside', 'white', 'lifting couch', 'blue', 'green', 'red', 'he sees deer', '2', 'on grass', 'yes', 'no', 'tray', 'yellow']",15510,is there a,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1551,Is there a steak on the table?,"['yellow', '1', 'turning it on', 'yes', 'red', 'no', 'tree', '3', 'messy kids', 'floral', 'musical chairs', 'white', 'read', 'elizabeth and sarah', '4', 'trees', '2', 'blue']",15511,is there a,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1551,Are all the chairs the same?,"['flowers', 'rain', 'circle', 'beehive and nest', 'no', '1', '2', 'blue', 'yellow', 'yes', 'maybe', 'stripes', '4', 'frogs', 'red', 'white', '3', 'doll and dollhouse']",15512,are,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1551,How many people are in the image?,"['13', '18', '14', '15', '17', '12', '8', '19', '20', '0', '1', '7', '9', '4', '2', '5', '6', '11']",15513,how many,1,number,"['1', '1', '1', '12', '1', '1', '1', '1', '1', '1']"
1552,Is the day sunny or cloudy?,"['blue', 'blue shirt', 'yellow', 'barren', '3', 'sunny', 'red', '2', 'family', ""it's toy"", '4', 'no', '1', 'white', 'pavement', 'wet', 'same', 'yes']",15520,is the,sunny,other,"['sunny', 'both', 'sunny', 'partly cloudy', 'sunny', 'sunny', 'sunny', 'sunny', 'sunny', 'sunny']"
1552,How many marshmallows?,"['3', 'throw', 'blue', '4', '1', 'white', '43', 'falling', 'no', 'sitting and standing', '5', 'red', 'yellow', '2', 'skinny', '8', 'no leaves on tree', 'yes']",15521,how many,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
1552,Are the man and the girl related?,"['1', '3', 'to be pet', 'yes', 'white', 'around tree', 'dinner', 'no seats', 'next to blanket', 'yellow', 'no', 'unsure', '4', 'red', 'maybe', 'sitting', '2', 'blue']",15522,are the,yes,yes/no,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
1552,How many people are in the image?,"['13', '3', '18', '17', '8', '15', '12', '19', '16', '20', '0', '1', '10', '4', '2', '5', '6', '11']",15523,how many,2,number,"['2', '6', '2', '2', '14', '2', '2', '2', '14', '2']"
1553,How many people are riding the moped?,"['meatballs', '6', '0', '7', '2', '3', 'yes', 'no', 'white', 'very', 'blue', 'red', 'yellow', 'man', '5', '4', 'curly', '1']",15530,how many people are,0,number,"['0', '0', '0', '1', '0', '0', '0', '0', '0', '1']"
1553,What color is the bike?,"['orange', 'b', '3', '1', 'red', 'silver', '4', 'plain', 'white', 'napping', 'yellow', '2', 'yes', 'get across', 'blue', 'no', 'black', 'pink']",15531,what color is the,orange,other,"['red', 'orange', 'yellow', 'orange', 'orange', 'yellow', 'orange', 'orange', 'yellow', 'red']"
1553,Is there a hamburger on the blanket?,"['flowers', 'blue', 'white', 'chipmunk', '5', 'yes', 'her daughter to come home', '2', 'red', '1', 'floral', 'by wall', 'flat', '4', '3', 'yellow', 'no', 'trees']",15532,is there a,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1553,How many people are in the image?,"['3', '13', '17', '8', '15', '12', '14', '16', '19', '20', '7', '1', '4', '9', '10', '2', '5', '11']",15533,how many,1,number,"['1', '1', '0', '1', '1', '1', '1', '1', '20', '11']"
1554,Is the dog happy to see the man?,"['for comfort', '2', 'yes', 'full grown', '4', 'red', '3', 'sound asleep', 'unsure', 'for cat to get warm', 'yellow', 'blue', 'woman happy to see dog?', 'cupcakes', 'white', 'no', '1', 'to eat it']",15540,is the dog,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1554,How many stools?,"['petting cat', 'white', 'sit', '3', 'bear and robot', '5', '4', '5 years', 'no', 'yellow', '7', 'yes', '2', 'corner', '10', 'red', 'blue', '1']",15541,how many,1,number,"['1', '1', '1', '1', '1', '1', '1', '1', '1', '1']"
1554,Is there a fireplace in the living room?,"['yellow', 'next to him', '3', 'blue', 'to eat it', '4', '2', 'fire', 'living room', 'man, boy, dog, cat', 'middle of wall', 'red', 'no', 'to get steaks', 'white', 'yes', '1', 'wood']",15542,is there a,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1554,How many people are in the image?,"['13', '18', '2', '14', '15', '12', '19', '20', '16', '1', '10', '4', '7', '9', '17', '5', '6', '11']",15543,how many,1,number,"['1', '8', '7', '16', '1', '1', '1', '1', '1', '1']"
1555,What are they watching?,"['yellow', 'in front of bench', 'white', 'yes', 'school', 'tv', '1', 'red', '4', 'pond', 'leave', 'blue', 'no', '1 year', 'television', '3', '2', 'anniversary']",15550,what are they,tv,other,"['tv', 'tv', 'tv', 'tv', 'tv', 'tv', 'nothing', 'nothing', 'tv', 'tv']"
1555,How many windows?,"['messy', '1', '2', 'reading', 'yes', 'drinking tea', 'red', 'no stand', '21', 'he has stomach ache', '6', '8', 'blue', 'yellow', '4', '3', 'no', 'white']",15551,how many,3,number,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3']"
1555,What color are the curtains?,"['in girls hands', 'no', 'yellow', 'man and baby', '1', 'ivy', 'pink', '3', '2', 'white', 'yes', 'green', 'red', '4', 'skateboard and bike', 'blue', 'tan', 'brown']",15552,what color are the,tan,other,"['tan', 'gray and beige', 'beige', 'tan', 'gray', 'brown', 'brown', 'beige', 'tan', 'tan']"
1555,How many people are in the image?,"['13', '3', '17', '15', '8', '12', '14', '19', '16', '0', '7', '1', '4', '10', '2', '5', '6', '11']",15553,how many,2,number,"['2', '3', '5', '2', '2', '2', '2', '20', '2', '2']"
1556,What is next to the woman on the couch?,"['girl on left', '1', '2', 'peanut butter', 'there is only 1 pillow', 'pillow', 'blue', 'no', 'white', '4', 'yellow', 'pet', 'teddy bear', 'yes', 'red', 'on chair', '3', 'cat']",15560,what is,teddy bear,other,"['bear', 'stuffed animal', 'teddy bear', 'stuffed bear', 'bear', 'toy cat', 'stuffed animal', 'teddy bear', 'stuffed cat', 'cat']"
1556,What color are the curtains?,"['2', 'yes', 'tan', '1', '4', '20', 'playing with bone', 'white', 'yellow', 'white laced', 'no', ""it's his"", 'fire hazard', 'chipmunks', '3', 'brown', 'blue', 'red']",15561,what color are the,white,other,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white']"
1556,Does the stuffed animal have ears?,"['herself', 'yellow', 'left one', 'white', 'bike and skateboard', '3', 'standing on benches', '2', 'blue', 'yes 3 of them', 'red', '4', 'ground', 'bending', '1', 'no', 'closet', 'yes']",15562,does the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1557,How is the center boy holding his arms?,"['morning', 'yes', 'blue', 'dog and raccoon', 'up in air', '1', 'out', '2', 'bicycles', 'crossed', 'white', 'yellow', 'lunch', '4', 'red', 'no', 'good', '3']",15570,how,out,other,"['out horizontal', 'open', 'out', 'straight out', 'out straight', 'straight out at his sides', 'out', 'out', 'straight out', 'out']"
1557,How many children?,"['5', 'blend', 'yellow', '4', 'dog and cat', 'east', 'blue', '1', '6', '3', 'red', 'no', 'yes', '8', 'upside down', 'white', '2', 'crossed']",15571,how many,3,number,"['3', '3', '3', '3', '3', '3', '3', '3', '3', '3']"
1557,How many bushes?,"['grandma and grandson', '6', '3', 'helping women', '5', 'red', 'green, yellow, blue, white', 'woman in chair', 'yes', 'yellow', '15', '4', '2', '1', 'white', 'back', 'blue', 'no']",15572,how many bushes,2,number,"['3', '2', '2', '2', '2', '2', '2', '2', '3', '2']"
1557,How many people are in the image?,"['3', '18', '17', '15', '14', '12', '19', '20', '0', '10', '1', '4', '9', '7', '2', '5', '6', '11']",15573,how many,3,number,"['3', '3', '3', '3', '3', '3', '3', '8', '18', '9']"
1558,Where is the watermelon?,"['frog', 'honda', 'no', '1', 'yes', 'table', 'blue', 'red', 'sitting on table', 'kitchen', '3', 'pigeon', '4', 'yellow', '2', 'counter', 'fridge', 'white']",15580,where is the,table,other,"['table', 'on table', 'on table', 'on table', 'table', 'table', 'table', 'table', 'table', 'on table']"
1558,What is the woman reaching for?,"['food', '3', 'yes', 'all day', 'cup', 'white', '4', 'adolescents', '1', '2', 'no', 'cat', 'himself', 'blue', 'watermelon', 'yellow', 'to read', 'red']",15581,what is the woman,watermelon,other,"['watermelon', 'watermelon', 'watermelon', 'watermelon', 'watermelon', 'watermelon', 'watermelon', 'watermelon slice', 'watermelon', 'watermelon']"
1558,Is there a couch?,"[""they're on upper shelves"", 'blue', 'yellow', 'middle of wall', 'in water', 'wine and steak', '2', '1', 'beside sandbox', 'no', 'red', '3', 'white', '4 feet', 'walked', 'on table', '4', 'yes']",15582,is there a,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1558,How many people are in the image?,"['13', '3', '18', '2', '14', '15', '8', '12', '16', '20', '7', '1', '4', '10', '9', '17', '5', '6']",15583,how many,1,number,"['1', '4', '1', '1', '1', '1', '1', '1', '1', '1']"
1559,How many window panes?,"['0', 'blue', 'vertically', 'video game console', 'yellow', 'no', 'yes', '3', 'red', '5', 'not there', 'man is jumping over fire', '6', '1', 'white', '4', '2', 'adjusting it']",15590,how many,4,number,"['2', '7', '4', '7', '4', '7', '4', '1', '7', '4']"
1559,What color is the painting?,"['no', '3', '2', '1', 'uncomfortable', 'head', 'yellow', 'white', ""she's dancing"", '4', 'red and white', 'turning it on', 'yes', 'no leaves on trees', 'blue', 'red', 'green and yellow', 'green']",15591,what color is the,green and yellow,other,"['green and yellow', 'green and yellow', 'green and yellow', 'green', 'green and yellow', 'green and yellow', 'green/yellow', 'red and yellow', 'green and yellow', 'green']"
1559,Where is the cat?,"['blue', 'no', 'yes', 'sofa', '4', 'black', '2', 'white', 'yellow', 'smores', 'bike and skateboard', 'down slide', 'eat pie', 'home', 'red', 'kitchen', '3', '1']",15592,where is the,sofa,other,"['sofa', 'on sofa', 'right', 'in chair', 'sofa', 'couch', 'couch', 'on couch', 'on armchair', 'sofa']"
1559,How many people are in the image?,"['13', '18', '2', '14', '15', '8', '12', '16', '20', '19', '1', '10', '4', '9', '7', '17', '5', '6']",15593,how many,1,number,"['1', '16', '1', '1', '15', '1', '1', '1', '8', '1']"
1560,What is the man holding?,"['bible', 'third', ""his wife's hand"", 'under seesaw', 'black and red', 'white', '2', 'red', 'sunflowers', 'baseball', '1', 'yes', 'plate of food', 'no', '3', '4', 'yellow', 'blue']",15600,what is the man,baseball,other,"['baseball', 'baseball', 'baseball', 'baseball', 'baseball', 'ball', 'ball', 'baseball', 'baseball', 'ball']"
1560,What color is the bird?,"['yes', 'parent', 'just now', 'seesaw', 'pets', '3', 'yellow and black', 'black', 'brown', 'no', 'red', '1', 'blue', 'yellow', '4', '2', 'white', ""boy's lap""]",15601,what color is the,blue,other,"['blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'blue', 'gray', 'blue', 'blue']"
1560,Who is holding the bat?,"['boy', '1', 'blue', 'catching', '4', 'red', 'no', 'yes', 'plain', 'chubby', 'dog bed', 'woman', 'yellow', '2', '3', 'man', 'white', 'rodney']",15602,who is,boy,other,"['boy', 'small boy', 'boy', 'kid', 'boy', 'young boy', 'little boy', 'kid', 'boy', 'boy']"
1560,How many people are in the image?,"['13', '3', '18', '14', '8', '17', '15', '19', '20', '16', '0', '10', '9', '4', '1', '2', '6', '11']",15603,how many,2,number,"['2', '1', '2', '2', '2', '2', '2', '2', '2', '6']"
1561,What is the big green fruit called?,"['no', 'color', 'top of tree', '2', 'blue', 'yellow', 'watermelon', '1', 'toy cars', 'quack', 'swing', 'metal detector', 'red', 'apple', '4', '3', 'yes', 'white']",15610,what is the,watermelon,other,"['watermelon', 'watermelon', 'watermelon', 'watermelon', 'watermelon', 'watermelon', 'watermelon', 'watermelon', 'watermelon', 'watermelon']"
1561,What season is it?,"['no', 'autumn', 'yellow', 'no stand', 'grilling', 'fort', 'blue', 'winter', 'fall', '3', 'white', 'yes', 'tongs', '1', 'summer', '2', 'red', '4']",15611,what,summer,other,"['summer', 'summer', 'summer', 'summer', 'summer', 'summer', 'summer', 'summer', 'summer', 'spring']"
1561,What color is the man's pants?,"['3', '1', 'red', 'pink', 'no', 'white', 'holding baby', '4', 'brown', 'yellow', 'gray', 'blue', '2', 'twist', 'yes', 'picture', 'date', 'black']",15612,what color is the,gray,other,"['gray', 'gray', 'gray', 'gray', 'gray', 'gray', 'gray', 'gray', 'gray', 'gray']"
1561,How many people are in the image?,"['3', '13', '18', '2', '14', '8', '15', '12', '16', '19', '0', '10', '9', '1', '4', '17', '6', '11']",15613,how many,2,number,"['2', '2', '0', '2', '2', '2', '11', '2', '2', '2']"
1562,What is on the couch?,"['white', 'hopping', 'cat', 'yellow', '4', '2 boys', 'bury it', 'yes', 'food', '1', '2', 'blue', 'pizza and hot dog', 'half', 'no', '3', 'red', 'pillows']",15620,what is on the,2 boys,other,"['2 boys', 'kids', 'kids', '2 boys', 'boys', 'children', 'people', 'boys', 'kids, pillow', '2 boys']"
1562,What are the boys holding?,"['wine bottles and yarn', 'white', 'yes', 'yellow', 'stop', 'wandered off', 'to get ball', 'no', 'red', '4', '2', 'blue', 'books', 'squirt gun', '3', 'guns', '1', 'baseballs']",15621,what are the,books,other,"['paper', 'tablets', 'paper', 'books', 'books', 'toys', 'notebooks', 'paper', 'tablets', 'books']"
1562,Do these two people know each other?,"['1', 'dog chasing', 'yellow', '50%', 'honda', 'white', 'blue', '2', '4', 'married', 'from school', 'no', 'not very long', '3', 'red', 'yes', 'legos', 'watching tv']",15622,do,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1562,How many people are in the image?,"['3', '13', '18', '17', '15', '14', '12', '19', '16', '20', '0', '1', '10', '4', '7', '2', '5', '6']",15623,how many,2,number,"['2', '2', '2', '2', '2', '2', '2', '17', '2', '2']"
1563,Is the woman touching her head with her hand?,"['mother and child', 'fearless', '2', 'rocks', '3', 'blue', 'one on left', 'red', 'to pet it', '4', 'skinny', 'playing ball', 'no', 'idk', 'white', '1', 'yellow', 'yes']",15630,is the woman,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1563,Is she watching the turtle?,"['2', '3', 'branches', '1', 'yes', 'clash', 'no', '4', 'football', 'ni', 'basket, green apple and watermelon', 'pizza', 'chasing mouse', 'red', 'burger and hot dog', 'yellow', 'blue', 'white']",15631,is she,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1563,How many trees are there?,"['blue', 'mushrooms and flowers', '3', 'down', '10', 'grill and fire', '8', 'red', 'no', '5', '4', '2', 'on man', 'sitting on stool', 'yes', 'yellow', '1', 'white']",15632,how many trees are,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
1563,How many people are in the image?,"['13', '3', '14', '15', '17', '8', '12', '16', '20', '19', '0', '1', '9', '4', '2', '5', '6', '11']",15633,how many,1,number,"['1', '3', '1', '1', '4', '1', '1', '0', '1', '1']"
1564,How many bottles are on the table?,"['no', '1', 'behind', 'red', '7', 'blue', 'super mario bros', 'white', 'yellow', '5', 'teeter totter', 'sand', 'game', '2', '3', '6', '4', 'yes']",15640,how many,2,number,"['2', '2', '2', '3', '2', '2', '2', '2', '2', '2']"
1564,Did the girl drink the wine?,"['4', '2', '3', '1', 'yellow', 'mp', 'yes', 'blue', 'wine glass', 'by bushes', 'floor', 'ground', 'on logs', 'white', 'himself', 'red', 'dog', 'no']",15641,did the,no,yes/no,"['yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1564,What color is the door knob?,"['red', '1', 'gold', 'sitting', '2', 'no', 'brown', '3', 'bronze', 'silver', 'no one is there', 'alcohol', '4', 'yes', 'blue', 'she is sitting near campfire', 'yellow', 'white']",15642,what color is the,gold,other,"['gold', 'yellow', 'gold', 'brown', 'gold', 'brass', 'brass', 'brass', 'gold', 'gold']"
1564,How many people are in the image?,"['3', '13', '18', '17', '15', '8', '12', '16', '20', '0', '1', '9', '4', '7', '2', '5', '6', '11']",15643,how many,1,number,"['1', '1', '1', '1', '3', '1', '1', '7', '1', '1']"
1565,Where is the couch?,"['no', 'baseball bat', 'comfortable', 'in living room', 'red', '3', 'yes', '4', 'blue', 'in corner', 'yellow', 'between windows', '1', 'bury it', 'white', 'living room', 'proposing', '2']",15650,where is the,between windows,other,"['living room', 'center', 'between windows', 'in living room', 'against wall', 'against wall', 'between windows', 'living room', 'wall', 'between windows']"
1565,How many pillows on the couch?,"['3', 'blue', '6', 'no', '4', 'white', 'blue and white', '5', '1', 'yes', '2', 'red', '0', 'no one else is home', 'facing', 'love seats', 'yellow', 'green, yellow, blue, white']",15651,how many pillows,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
1565,Are the windows draped the same?,"['2', 'yellow', '1', 'barren', 'playing on see saw', 'blue', '3', 'white', 'canary', 'table', 'different', 'same', 'red', '4', 'no', 'maybe', 'yes', 'adolescents']",15652,are the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'no']"
1565,How many people are in the image?,"['13', '3', '18', '15', '8', '12', '19', '20', '0', '7', '1', '4', '10', '9', '2', '5', '6', '11']",15653,how many,1,number,"['1', '1', '1', '1', '1', '1', '12', '1', '7', '1']"
1566,Who is grilling?,"['how to pet dog', '4', 'grandma', 'yellow', 'yes', 'man and baby', 'his parents are further behind him', 'man', 'blue', 'no', 'red', '3', 'woman', 'old man', 'no one', '1', '2', 'white']",15660,who is,woman,other,"['woman', 'woman', 'woman', 'lady', 'woman', 'woman', 'mom', 'woman', 'woman', 'girl']"
1566,What color are the bicycles?,"['yes', 'white', '4', 'orange', 'black', '1', 'to play with', 'black & white', 'to grill', 'no', 'red', 'blue', '3', 'yellow', 'in fireplace', '2', 'holding table', 'red and black']",15661,what color are the,orange,other,"['orange', 'orange', 'orange', 'yellow', 'orange', 'yellow', 'orange', 'tan', 'orange', 'orange']"
1566,Are there any people invited to the barbecue party?,"['hot dogs', '4', 'no', 'red', '1', 'blue', 'felines', '3', '5', 'white', 'standing on hind legs', 'canines', 'yellow', 'bat', 'herself', 'yes', 'cone', '2']",15662,are there any,no,yes/no,"['no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'no']"
1566,How many people are in the image?,"['13', '3', '18', '2', '14', '8', '12', '19', '20', '0', '10', '9', '4', '7', '17', '5', '6', '11']",15663,how many,2,number,"['2', '2', '11', '2', '13', '13', '2', '2', '2', '2']"
1567,Is the boy sitting with someone?,"['blue', 'red', 'standing', ""girl's lap"", 'smiling at it', 'white', 'sitting', '2', '4', '3', '1', 'made fire', 'yes', 'yew', 'yellow', 'tail', 'no', 'baguette']",15670,is the boy,no,yes/no,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
1567,How many plants are on the table?,"['9', '1', '3', 'yellow', '14', '2', 'no', 'bottle opener and fork', '5', 'yes', 'steak and ribs', 'blue', '11', '4', 'white', 'sleeping', 'red', 'no chair']",15671,how many plants are,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
1567,How many pictures are on the wall?,"['no', 'knob', '5', 'blue', 'red', '10', '1', '3', 'so he can wave to his dog', 'glass of wine', 'white', 'yes', '4', '2', 'yellow', 'pie', 'baseball bat', '6']",15672,how many pictures,2,number,"['2', '2', '2', '2', '2', '2', '2', '2', '2', '2']"
1568,Where is the animal?,"['4', 'close', 'no', 'waving', 'floor', 'red', 'blue', 'red book', '3', 'yes', '1', '2', 'between people', 'white', 'yellow', 'grass', 'hiding', 'bread']",15680,where is the,between people,other,"['on grass', 'grass', 'middle of group', 'middle', 'on ground', 'grass', 'between people', 'in grass', 'between people', 'between people']"
1568,Is this animal friendly?,"['he’s', '4', 'yellow', 'dog', 'her friends left her', 'married', '1', 'red', 'indian', 'only boy', 'yes', '2', 'noon', 'roasting', '3', 'blue', 'white', 'no']",15681,is this,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1568,"Does the person on the left, middle, or right have the shortest hair?","['4', 'yes', 'blue', 'no', 'camera', '1', 'tv and game console', 'her boyfriend', '2', 'leaves', 'red', 'left', 'right', 'white', '3', 'middle', 'yellow', 'picnicking']",15682,does the,left,other,"['left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left', 'left']"
1568,How many people are in the image?,"['3', '13', '18', '14', '15', '8', '12', '19', '20', '0', '9', '1', '7', '4', '17', '5', '6', '11']",15683,how many,3,number,"['3', '8', '3', '3', '3', '3', '15', '18', '3', '3']"
1569,What animal is in the sandbox?,"['2', 'squirrel', '3', 'yellow', 'white', 'in tree', '2 kids', '1', 'son fell', 'raccoon', 'yes', 'blue', 'red', 'turtle', '4', 'dog', 'no', 'mans']",15690,what animal is,raccoon,other,"['raccoon', 'raccoon', 'raccoon', 'raccoon', 'raccoon', 'raccoon', 'raccoon', 'raccoon', 'raccoon', 'raccoon']"
1569,What side of the bench is the man sitting on?,"['white', '3', '2', 'middle', 'left', '4', 'yes', 'yellow', '1', 'right side', 'armchair', 'blue', 'duck and turtle', 'frogs', 'red', 'right', 'no', 'bird will get him']",15691,what,middle,other,"['on left', 'middle', 'right', 'middle', 'top side', 'middle', 'middle', 'middle', 'center', 'left']"
1569,Is it sunny?,"['cloudy', 'yes', 'edge of pond', 'blue long sleeved shirt', 'blue', 'white', 'barren', 'yellow', 'red', '3', 'sunny', 'maybe', '2', 'on skateboard', 'no', '1', 'right side', '4']",15692,is it,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
1569,How many people are in the image?,"['3', '13', '18', '2', '14', '15', '12', '16', '20', '0', '1', '7', '4', '10', '9', '17', '5', '6']",15693,how many,1,number,"['1', '1', '1', '1', '1', '1', '2', '18', '2', '1']"
1570,What color are the sofas?,"['3', '1', 'marshmallow sticks', 'yellow', 'yellow, red, green, orange', 'chipmunks', 'watching child', 'doll', '2', 'green', 'white', 'yes', 'no', 'red', '4', 'orange', 'blue', 'brown']",15700,what color are the,brown,other,"['brown', 'tan', 'brown', 'tan', 'tan', 'brown', 'tan', 'brown', 'brown', 'beige']"
1570,Is the decor boring?,"['yes', 'yellow', 'white', 'no its circled', 'no', 'yes it is', 'deer and squirrel', 'almost', 'red', '2', 'top right', 'cushion', 'sunny day', 'bury it', '3', 'blue', '4', '1']",15701,is the,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']"
1570,Is this woman tired?,"['bookcase', 'keep healthy', '4', 'below', '1', 'yellow', 'yes', 'blue', 'atmosphere', 'red', 'no', 'noon', '3', 'dog and rabbit', 'different audiences', 'he’s', '2', 'white']",15702,is this,yes,yes/no,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
1571,What kind of ball is being kicked?,"['soccer', 'no', 'yes', 'blue', 'red', 'floral', '1', '3', 'red book', 'yellow box', 'yellow', 'shallow', 'football', '2', 'tennis ball', 'baseball', 'white', '4']",15710,what kind of,soccer,other,"['soccer', 'soccer', 'soccer', 'soccer', 'soccer', 'soccer', 'soccer', 'soccer ball', 'soccer', 'soccer']"
1571,Is the dog running?,"['sick', 'fetch', 'mean', 'yes', 'no', 'blue', 'yellow', '2', 'himself', '4', 'red', '1', 'couch', '3', 'dog chasing cat', '2 hours', 'white', 'meat']",15711,is the dog,yes,yes/no,"['yes', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'no']"
1571,Who is kicking?,"['dad', '2', '1', 'white', 'sun and cloud', 'blue', 'man', 'red', '4', 'yes', 'knees', 'yellow', 'boy', 'wine and steak', 'no', 'parents', 'young boy', '3']",15712,who is,man,other,"['man', 'man in gray pants', 'man', 'guy', 'person on right', 'boy', 'man', 'man', 'man', 'man']"
1571,How many people are in the image?,"['13', '3', '18', '2', '14', '15', '8', '12', '19', '20', '16', '0', '10', '1', '9', '7', '17', '6']",15713,how many,2,number,"['2', '2', '2', '2', '2', '2', '3', '2', '2', '2']"
1572,Is the young boy trying to get at the robot?,"[""it's his"", 'on stool', 'blue', 'red', 'leaving', 'yes', '1', 'yellow', '3', 'no', 'roasted marshmallow', 'throwing frisbee', 'no its circled', '2', 'white', 'es', '4', 'unsure']",15720,is the young,yes,yes/no,"['no', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no']"
1572,Is the dog playing with the boy?,"['between people', '2', 'blue', 'yes', '4', 'no', '1', 'white', 'fun', 'game console', 'in front of boy', 'table', 'yellow', 'fetch', 'what kind of dog?', '3', 'red', 'books and toys']",15721,is the dog,yes,yes/no,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
